job_title,company,location,experience_required,required_skills,num_skills_required,salary_inr,posted_year,remote
Machine Learning Engineer,Razorpay,Pune,8+ yrs,Python|MLOps|Deep Learning|Docker|Kubernetes,5,3396000.0,2024,Yes
Data Analyst,Razorpay,Kolkata,2-5 yrs,Excel|Statistics|SQL|Data Visualization|Google Analytics|Tableau|Power BI,7,801000.0,2023,No
DevOps Engineer,Zomato,Delhi NCR,8+ yrs,Docker|AWS|CI/CD|Kubernetes|Terraform,5,2500000.0,2024,Yes
Data Scientist,Razorpay,Hyderabad,0-2 yrs,Machine Learning|SQL|Python|Statistics|Data Visualization,5,1120000.0,2023,No
Frontend Developer,Adobe,Chennai,2-5 yrs,TypeScript|React|HTML/CSS|Figma|GraphQL,5,1057000.0,2022,Yes
Cloud Architect,Amazon,Remote,0-2 yrs,Azure|GCP|AWS|CI/CD|Security,5,1567000.0,2023,Yes
Product Manager,Zoho,Remote,5-8 yrs,Product Strategy|Agile|Roadmapping|SQL|Figma,5,2397000.0,2022,Yes
Frontend Developer,Zoho,Delhi NCR,5-8 yrs,React|HTML/CSS|TypeScript|Git|JavaScript|Vue.js|Webpack,7,1804000.0,2022,Yes
Full Stack Developer,Salesforce,Pune,2-5 yrs,Docker|SQL|JavaScript|TypeScript|Next.js|MongoDB,6,1575000.0,2024,Yes
Full Stack Developer,Swiggy,Mumbai,2-5 yrs,Node.js|JavaScript|Git|AWS|Next.js,5,1587000.0,2024,No
UI/UX Designer,Infosys,Mumbai,2-5 yrs,Figma|User Research|Wireframing|Motion Design|Usability Testing|Accessibility,6,1173000.0,2023,Yes
NLP Engineer,PhonePe,Bengaluru,0-2 yrs,NLP|Transformers|Machine Learning|Deep Learning|BERT,5,1320000.0,2023,No
Frontend Developer,TCS,Chennai,0-2 yrs,Git|HTML/CSS|JavaScript|TypeScript|React|Next.js|Figma|Vue.js,8,733000.0,2023,No
NLP Engineer,Swiggy,Remote,5-8 yrs,Machine Learning|NLP|Transformers|Hugging Face|Spark|AWS,6,2368000.0,2024,Yes
Cybersecurity Analyst,Deloitte,Kolkata,2-5 yrs,SIEM|Python|Penetration Testing|AWS Security|Incident Response,5,1336000.0,2024,No
Full Stack Developer,IBM,Pune,8+ yrs,React|SQL|Docker|Node.js|JavaScript|Next.js,6,2479000.0,2023,Yes
Frontend Developer,Paytm,Kolkata,5-8 yrs,TypeScript|Git|React|JavaScript|HTML/CSS|Next.js|Vue.js,7,1410000.0,2024,No
Data Analyst,Adobe,Pune,2-5 yrs,Excel|SQL|Statistics|Power BI,4,1015000.0,2024,Yes
Cloud Architect,Salesforce,Delhi NCR,8+ yrs,Kubernetes|Networking|Azure|AWS|GCP|Docker|Cost Optimization|Linux,8,4021000.0,2024,No
Data Scientist,Flipkart,Ahmedabad,2-5 yrs,Data Visualization|Statistics|Machine Learning|Tableau|AWS|R,6,1597000.0,2024,No
Machine Learning Engineer,BYJU'S,Pune,8+ yrs,Docker|MLOps|Deep Learning|AWS|GCP,5,3162000.0,2024,No
Backend Developer,Accenture,Chennai,5-8 yrs,REST APIs|Git|Python|Docker|SQL,5,1778000.0,2022,No
DevOps Engineer,Meesho,Ahmedabad,5-8 yrs,Kubernetes|Linux|AWS|Docker,4,2328000.0,2024,No
Cloud Architect,Deloitte,Pune,0-2 yrs,Terraform|Networking|Azure|Kubernetes|CI/CD|Security|Linux,7,1683000.0,2023,No
Cybersecurity Analyst,Capgemini,Mumbai,8+ yrs,SIEM|Network Security|Linux|Penetration Testing|AWS Security,5,2601000.0,2023,Yes
Data Scientist,PhonePe,Chennai,5-8 yrs,Statistics|Data Visualization|Machine Learning|Spark|R|AWS,6,2159000.0,2023,Yes
NLP Engineer,Deloitte,Delhi NCR,0-2 yrs,Python|Machine Learning|Transformers|Deep Learning|NLP,5,1462000.0,2023,Yes
UI/UX Designer,BYJU'S,Pune,2-5 yrs,HTML/CSS|Figma|Prototyping|User Research|Adobe XD,5,947000.0,2023,No
DevOps Engineer,Amazon,Delhi NCR,2-5 yrs,AWS|Docker|CI/CD|Terraform|Python,5,1735000.0,2022,No
Data Scientist,OLA,Hyderabad,8+ yrs,SQL|Machine Learning|Data Visualization|Python|AWS|Tableau,6,2910000.0,2023,No
Cloud Architect,Capgemini,Pune,8+ yrs,AWS|GCP|Kubernetes|Networking|Cost Optimization,5,4040000.0,2024,No
Full Stack Developer,OLA,Chennai,0-2 yrs,React|Node.js|Docker|MongoDB|Next.js|GraphQL,6,1109000.0,2023,Yes
Product Manager,Amazon,Delhi NCR,2-5 yrs,Roadmapping|Agile|Data Analysis|Stakeholder Management|Product Strategy|User Research|SQL|Figma,8,1663000.0,2022,No
Cybersecurity Analyst,OLA,Remote,5-8 yrs,Penetration Testing|Python|Linux|SIEM|Network Security|Incident Response|Forensics,7,1633000.0,2024,Yes
Backend Developer,Flipkart,Remote,5-8 yrs,REST APIs|Git|SQL|Docker|Python|AWS,6,1711000.0,2024,Yes
UI/UX Designer,Flipkart,Delhi NCR,5-8 yrs,Wireframing|User Research|Prototyping|Figma|Accessibility,5,1146000.0,2022,No
NLP Engineer,Salesforce,Ahmedabad,2-5 yrs,Machine Learning|Deep Learning|NLP,3,1730000.0,2023,Yes
Data Scientist,OLA,Hyderabad,5-8 yrs,SQL|Python|Statistics|AWS|Deep Learning|NLP,6,1705000.0,2024,No
Data Analyst,Flipkart,Remote,2-5 yrs,Python|Statistics|Excel|Data Visualization|R,5,978000.0,2023,Yes
Frontend Developer,Zoho,Hyderabad,0-2 yrs,HTML/CSS|JavaScript|TypeScript|Next.js,4,751000.0,2022,Yes
Data Scientist,BYJU'S,Ahmedabad,8+ yrs,Machine Learning|Statistics|SQL|Data Visualization,4,2685000.0,2023,Yes
Cybersecurity Analyst,TCS,Delhi NCR,2-5 yrs,SIEM|Linux|Python|Network Security,4,1720000.0,2022,Yes
Machine Learning Engineer,Zoho,Pune,5-8 yrs,MLOps|Deep Learning|Docker|Machine Learning,4,2867000.0,2024,No
Cloud Architect,Zoho,Bengaluru,0-2 yrs,Terraform|GCP|AWS|Kubernetes|CI/CD|Docker,6,2212000.0,2023,Yes
Machine Learning Engineer,Nykaa,Ahmedabad,8+ yrs,Docker|MLOps|Deep Learning|Machine Learning|Kubernetes,5,3196000.0,2023,No
Full Stack Developer,Razorpay,Chennai,0-2 yrs,Node.js|SQL|JavaScript|React|TypeScript|MongoDB|AWS,7,975000.0,2023,Yes
Cybersecurity Analyst,Swiggy,Bengaluru,8+ yrs,SIEM|Penetration Testing|Python|Compliance|AWS Security,5,2316000.0,2023,No
NLP Engineer,Flipkart,Bengaluru,8+ yrs,NLP|Deep Learning|Transformers|Python|Machine Learning|Hugging Face,6,3133000.0,2022,No
Data Analyst,OLA,Pune,2-5 yrs,Statistics|Python|Excel|SQL|Data Visualization|Power BI|Google Analytics,7,779000.0,2024,Yes
Data Analyst,Swiggy,Chennai,5-8 yrs,SQL|Data Visualization|Statistics|Excel|Python|Power BI|Google Analytics,7,1192000.0,2023,No
Product Manager,BYJU'S,Chennai,8+ yrs,Stakeholder Management|Roadmapping|Product Strategy|User Research,4,2423000.0,2024,No
NLP Engineer,PhonePe,Mumbai,8+ yrs,NLP|Deep Learning|Python|Machine Learning,4,3004000.0,2022,Yes
DevOps Engineer,Amazon,Ahmedabad,2-5 yrs,AWS|Linux|CI/CD|Docker|Python|Azure,6,1475000.0,2023,No
Product Manager,Zoho,Hyderabad,0-2 yrs,Agile|Product Strategy|Stakeholder Management|SQL|Figma,5,1206000.0,2024,No
Data Scientist,Accenture,Bengaluru,0-2 yrs,Statistics|SQL|Python|Data Visualization|Tableau|R,6,1243000.0,2022,Yes
Data Analyst,Zoho,Delhi NCR,8+ yrs,Excel|Statistics|Data Visualization|Python|Google Analytics,5,1468000.0,2023,No
Cybersecurity Analyst,Amazon,Ahmedabad,2-5 yrs,Penetration Testing|Python|Linux|SIEM|Ethical Hacking|Compliance,6,1493000.0,2022,Yes
DevOps Engineer,Freshworks,Pune,5-8 yrs,Docker|Linux|Kubernetes|AWS|CI/CD|Azure|GCP,7,2312000.0,2023,Yes
UI/UX Designer,Infosys,Delhi NCR,5-8 yrs,User Research|Figma|Wireframing|Prototyping|HTML/CSS|Usability Testing|Adobe XD,7,1437000.0,2022,No
Full Stack Developer,Razorpay,Delhi NCR,8+ yrs,Docker|Git|Node.js|AWS|MongoDB,5,3163000.0,2023,No
Data Analyst,Amazon,Mumbai,8+ yrs,Python|Data Visualization|SQL|Google Analytics|Tableau|Power BI,6,1691000.0,2024,No
UI/UX Designer,Salesforce,Chennai,8+ yrs,Prototyping|Figma|Wireframing|Accessibility,4,1520000.0,2024,Yes
Cybersecurity Analyst,Salesforce,Ahmedabad,0-2 yrs,Penetration Testing|Network Security|SIEM|Python|Linux|Incident Response|Compliance,7,868000.0,2022,Yes
DevOps Engineer,Deloitte,Remote,8+ yrs,Linux|Docker|Kubernetes|CI/CD|Python,5,2261000.0,2023,Yes
Backend Developer,BYJU'S,Delhi NCR,8+ yrs,SQL|Git|Python|REST APIs,4,2280000.0,2023,Yes
Cybersecurity Analyst,Salesforce,Bengaluru,2-5 yrs,Linux|SIEM|Python|Ethical Hacking|AWS Security,5,1639000.0,2024,Yes
Backend Developer,Zomato,Bengaluru,5-8 yrs,REST APIs|SQL|Python|Docker|AWS,5,1986000.0,2023,Yes
UI/UX Designer,Google,Mumbai,5-8 yrs,User Research|Prototyping|Wireframing|Figma,4,1482000.0,2023,Yes
Cloud Architect,Zoho,Bengaluru,2-5 yrs,Kubernetes|AWS|Terraform|Azure|GCP|Cost Optimization|Docker,7,2564000.0,2022,Yes
Full Stack Developer,Amazon,Mumbai,2-5 yrs,SQL|Docker|Node.js|React|Next.js|GraphQL,6,1338000.0,2024,Yes
DevOps Engineer,Infosys,Kolkata,8+ yrs,Linux|AWS|CI/CD|Docker|Python|GCP|Monitoring,7,2842000.0,2023,Yes
Cybersecurity Analyst,Amazon,Hyderabad,8+ yrs,Penetration Testing|Network Security|Python,3,2522000.0,2022,Yes
UI/UX Designer,Adobe,Hyderabad,5-8 yrs,Prototyping|Figma|User Research|Wireframing|Motion Design|Adobe XD,6,1279000.0,2022,Yes
Cybersecurity Analyst,Infosys,Hyderabad,8+ yrs,Network Security|Python|Penetration Testing|SIEM|Compliance|AWS Security,6,2419000.0,2024,No
Data Scientist,TCS,Pune,2-5 yrs,Python|Machine Learning|Data Visualization|SQL|Deep Learning|NLP,6,1553000.0,2022,Yes
NLP Engineer,PhonePe,Kolkata,2-5 yrs,NLP|Deep Learning|Machine Learning|Transformers|AWS|Hugging Face,6,1971000.0,2022,Yes
UI/UX Designer,Adobe,Hyderabad,0-2 yrs,Prototyping|HTML/CSS|Wireframing|User Research|Usability Testing|Motion Design|Adobe XD,7,752000.0,2022,No
DevOps Engineer,Wipro,Ahmedabad,0-2 yrs,Docker|Kubernetes|Linux|AWS|CI/CD|Ansible|Python,7,1328000.0,2022,No
Frontend Developer,Flipkart,Bengaluru,5-8 yrs,React|Git|TypeScript|JavaScript|Webpack|Figma|Vue.js,7,1651000.0,2023,Yes
Cloud Architect,Accenture,Kolkata,0-2 yrs,Networking|Kubernetes|GCP|AWS|Azure|Docker|Security|Linux,8,1865000.0,2024,No
NLP Engineer,Amazon,Kolkata,5-8 yrs,Transformers|Machine Learning|Deep Learning|Hugging Face,4,2269000.0,2023,No
Backend Developer,Razorpay,Hyderabad,5-8 yrs,Git|REST APIs|Docker|SQL|Python,5,1511000.0,2022,No
Backend Developer,Zoho,Mumbai,2-5 yrs,REST APIs|Docker|Git|SQL|Python,5,1539000.0,2022,No
Data Analyst,BYJU'S,Pune,8+ yrs,Data Visualization|SQL|Excel|Python,4,1500000.0,2022,No
Frontend Developer,Salesforce,Hyderabad,0-2 yrs,TypeScript|JavaScript|React|Git|HTML/CSS|Webpack|GraphQL|Figma,8,745000.0,2022,No
Data Analyst,IBM,Hyderabad,5-8 yrs,SQL|Excel|Data Visualization|Statistics|Python|Power BI,6,1122000.0,2023,No
DevOps Engineer,Adobe,Bengaluru,5-8 yrs,Docker|CI/CD|AWS|Kubernetes|Linux|Python|Azure,7,2535000.0,2024,Yes
Full Stack Developer,Salesforce,Kolkata,5-8 yrs,Node.js|Docker|SQL,3,1960000.0,2023,Yes
Cybersecurity Analyst,Salesforce,Kolkata,0-2 yrs,Network Security|Python|Linux|SIEM|Penetration Testing|Incident Response|Compliance,7,894000.0,2022,Yes
Data Analyst,Flipkart,Remote,5-8 yrs,Data Visualization|Excel|Python|Statistics|SQL,5,1041000.0,2024,Yes
UI/UX Designer,Capgemini,Ahmedabad,2-5 yrs,Wireframing|User Research|Prototyping|Accessibility|Motion Design|Usability Testing,6,1012000.0,2022,Yes
Frontend Developer,Paytm,Chennai,8+ yrs,TypeScript|HTML/CSS|React|Git|JavaScript|Next.js|Webpack|GraphQL,8,1671000.0,2023,No
Product Manager,IBM,Remote,0-2 yrs,Product Strategy|Agile|Roadmapping|User Research|Jira,5,1369000.0,2022,Yes
Backend Developer,Deloitte,Bengaluru,8+ yrs,Docker|SQL|Python|REST APIs,4,2736000.0,2022,No
Data Analyst,Zomato,Mumbai,5-8 yrs,Statistics|Excel|Data Visualization|Google Analytics|Power BI,5,1394000.0,2022,No
Backend Developer,Meesho,Remote,2-5 yrs,SQL|REST APIs|Docker|Python,4,1040000.0,2023,Yes
Cybersecurity Analyst,Amazon,Hyderabad,8+ yrs,SIEM|Linux|Python|Network Security,4,2166000.0,2022,No
Backend Developer,Razorpay,Hyderabad,8+ yrs,Python|Git|REST APIs|SQL|Docker|AWS|PostgreSQL,7,2506000.0,2023,Yes
Full Stack Developer,Deloitte,Delhi NCR,0-2 yrs,Docker|Node.js|React|JavaScript|SQL,5,1193000.0,2022,No
NLP Engineer,Salesforce,Mumbai,8+ yrs,Transformers|Python|NLP,3,3092000.0,2022,No
Frontend Developer,Meesho,Ahmedabad,8+ yrs,React|HTML/CSS|Git|JavaScript,4,2220000.0,2023,No
Data Analyst,Swiggy,Kolkata,5-8 yrs,Statistics|Data Visualization|SQL|Excel|Python|R|Google Analytics|Power BI,8,1297000.0,2024,No
Data Analyst,Zoho,Mumbai,8+ yrs,Data Visualization|SQL|Statistics|Excel|Python|R|Power BI,7,1724000.0,2024,No
Full Stack Developer,Microsoft,Chennai,8+ yrs,Node.js|JavaScript|Docker|Git|React|MongoDB|AWS|TypeScript,8,2126000.0,2024,No
Data Scientist,Amazon,Delhi NCR,2-5 yrs,Statistics|SQL|Data Visualization|Python|Machine Learning|AWS|R,7,1799000.0,2022,Yes
Product Manager,PhonePe,Chennai,5-8 yrs,Agile|Product Strategy|Roadmapping|Data Analysis|Stakeholder Management|Figma|User Research,7,2527000.0,2022,No
Frontend Developer,Paytm,Pune,8+ yrs,React|JavaScript|TypeScript|HTML/CSS|Git|Next.js|GraphQL|Vue.js,8,2182000.0,2023,No
NLP Engineer,Meesho,Remote,0-2 yrs,NLP|Machine Learning|Transformers|Python|Hugging Face|BERT,6,1437000.0,2022,Yes
Cloud Architect,Deloitte,Remote,0-2 yrs,Kubernetes|Terraform|Azure|GCP|AWS|Docker|Security,7,1632000.0,2024,Yes
NLP Engineer,Nykaa,Kolkata,8+ yrs,NLP|Deep Learning|Transformers|Python,4,2997000.0,2024,No
Machine Learning Engineer,Zomato,Kolkata,2-5 yrs,Python|Machine Learning|MLOps|Docker|Deep Learning,5,1733000.0,2024,Yes
Full Stack Developer,Amazon,Pune,5-8 yrs,React|Node.js|JavaScript|Next.js|AWS,5,1927000.0,2024,Yes
Machine Learning Engineer,Freshworks,Bengaluru,5-8 yrs,Python|Deep Learning|MLOps,3,2485000.0,2024,Yes
Cloud Architect,Salesforce,Pune,5-8 yrs,Networking|Kubernetes|GCP|Azure|Docker,5,3240000.0,2022,No
DevOps Engineer,BYJU'S,Delhi NCR,8+ yrs,CI/CD|AWS|Linux|Kubernetes|GCP,5,2556000.0,2024,Yes
Full Stack Developer,BYJU'S,Hyderabad,2-5 yrs,React|Git|JavaScript|SQL|MongoDB|GraphQL|Next.js,7,1345000.0,2022,No
UI/UX Designer,Paytm,Mumbai,5-8 yrs,Prototyping|Wireframing|User Research|Figma|Adobe XD|Usability Testing|Motion Design,7,1318000.0,2024,No
Data Scientist,Wipro,Ahmedabad,0-2 yrs,Statistics|Python|SQL|Machine Learning|Data Visualization|Spark|AWS|R,8,1027000.0,2023,Yes
UI/UX Designer,Deloitte,Remote,2-5 yrs,Prototyping|HTML/CSS|Wireframing|User Research,4,1025000.0,2024,Yes
Cybersecurity Analyst,Zomato,Hyderabad,0-2 yrs,Python|SIEM|Network Security|Penetration Testing|Forensics|Compliance,6,999000.0,2022,Yes
Machine Learning Engineer,OLA,Remote,5-8 yrs,Docker|Machine Learning|MLOps|Deep Learning|AWS,5,2400000.0,2024,Yes
NLP Engineer,Freshworks,Chennai,5-8 yrs,Machine Learning|Deep Learning|NLP|Python|Transformers|GPT|Hugging Face|BERT,8,2420000.0,2024,Yes
UI/UX Designer,TCS,Delhi NCR,8+ yrs,HTML/CSS|Prototyping|Figma|User Research|Wireframing,5,1925000.0,2024,Yes
Backend Developer,BYJU'S,Chennai,0-2 yrs,Docker|REST APIs|Git|SQL|AWS,5,994000.0,2024,Yes
Product Manager,Meesho,Chennai,2-5 yrs,Stakeholder Management|Roadmapping|Agile|Product Strategy|Data Analysis|Figma|A/B Testing|User Research,8,1558000.0,2024,No
UI/UX Designer,Paytm,Delhi NCR,8+ yrs,User Research|Wireframing|HTML/CSS|Figma|Usability Testing|Motion Design,6,1773000.0,2024,No
Frontend Developer,Freshworks,Remote,0-2 yrs,HTML/CSS|React|TypeScript|JavaScript|Figma|Vue.js|Next.js,7,968000.0,2024,Yes
Frontend Developer,Paytm,Delhi NCR,8+ yrs,Git|HTML/CSS|JavaScript|TypeScript|React|Next.js|Vue.js,7,2303000.0,2024,Yes
Data Scientist,Swiggy,Chennai,0-2 yrs,Python|Machine Learning|Data Visualization|Statistics|SQL|AWS|R|Tableau,8,1132000.0,2023,No
Frontend Developer,Amazon,Delhi NCR,0-2 yrs,React|TypeScript|JavaScript|HTML/CSS|Git,5,993000.0,2024,No
Data Scientist,Wipro,Hyderabad,0-2 yrs,SQL|Data Visualization|Python|Machine Learning|Spark|NLP,6,1190000.0,2023,Yes
NLP Engineer,Salesforce,Pune,8+ yrs,Python|Deep Learning|NLP|Machine Learning|Transformers|AWS,6,3420000.0,2023,No
Product Manager,Amazon,Kolkata,5-8 yrs,Agile|Stakeholder Management|Roadmapping|Data Analysis|Product Strategy,5,1841000.0,2023,Yes
Cloud Architect,Accenture,Pune,5-8 yrs,GCP|Networking|Azure|AWS|Terraform,5,3008000.0,2022,No
Cybersecurity Analyst,IBM,Hyderabad,5-8 yrs,Python|Linux|Network Security|SIEM|Penetration Testing|Ethical Hacking|Compliance,7,1951000.0,2024,No
DevOps Engineer,Meesho,Delhi NCR,8+ yrs,AWS|Linux|CI/CD,3,3044000.0,2024,Yes
Data Scientist,Freshworks,Remote,2-5 yrs,Statistics|SQL|Python|AWS,4,1291000.0,2024,Yes
Cloud Architect,Nykaa,Ahmedabad,0-2 yrs,Azure|Terraform|Kubernetes|Cost Optimization|Docker|Security,6,1670000.0,2023,Yes
DevOps Engineer,Google,Delhi NCR,5-8 yrs,Docker|Linux|Kubernetes|AWS|CI/CD,5,2519000.0,2023,Yes
Frontend Developer,Razorpay,Mumbai,8+ yrs,HTML/CSS|TypeScript|React|Git|JavaScript|Vue.js|Next.js|Figma,8,2353000.0,2024,No
Product Manager,Capgemini,Delhi NCR,2-5 yrs,Data Analysis|Roadmapping|Stakeholder Management,3,1926000.0,2023,Yes
Backend Developer,Deloitte,Mumbai,8+ yrs,Python|Git|SQL|REST APIs|Redis,5,2673000.0,2022,Yes
Backend Developer,Flipkart,Bengaluru,0-2 yrs,REST APIs|Python|Git|SQL,4,899000.0,2022,Yes
Product Manager,Infosys,Chennai,5-8 yrs,Agile|Data Analysis|Product Strategy|Roadmapping|Stakeholder Management|A/B Testing|Figma,7,1882000.0,2024,Yes
Cybersecurity Analyst,Meesho,Ahmedabad,8+ yrs,Penetration Testing|Python|SIEM|Compliance|Forensics,5,2053000.0,2023,Yes
Product Manager,Infosys,Delhi NCR,8+ yrs,Roadmapping|Product Strategy|Data Analysis|Agile|User Research,5,3112000.0,2022,No
Backend Developer,Salesforce,Hyderabad,5-8 yrs,Python|REST APIs|Git|Docker|PostgreSQL|Redis,6,1719000.0,2022,Yes
UI/UX Designer,OLA,Delhi NCR,2-5 yrs,Figma|User Research|HTML/CSS|Wireframing|Usability Testing|Sketch,6,1103000.0,2023,Yes
Product Manager,Wipro,Kolkata,5-8 yrs,Data Analysis|Stakeholder Management|Agile|Roadmapping|User Research|SQL,6,2443000.0,2024,No
Full Stack Developer,Deloitte,Chennai,2-5 yrs,Docker|React|Git|JavaScript,4,1271000.0,2024,No
Frontend Developer,Paytm,Chennai,2-5 yrs,Git|React|TypeScript|Webpack|Figma|Next.js,6,1229000.0,2023,No
Cloud Architect,Capgemini,Chennai,2-5 yrs,Networking|Terraform|Kubernetes|CI/CD,4,2576000.0,2024,Yes
Product Manager,Amazon,Bengaluru,0-2 yrs,Agile|Stakeholder Management|Product Strategy|Jira|SQL|User Research,6,1340000.0,2024,No
Cybersecurity Analyst,Google,Bengaluru,8+ yrs,Network Security|SIEM|Python|Linux|Penetration Testing|AWS Security|Compliance|Forensics,8,2139000.0,2022,Yes
Backend Developer,Deloitte,Pune,5-8 yrs,SQL|Docker|REST APIs|Python,4,1938000.0,2022,No
Cybersecurity Analyst,Salesforce,Bengaluru,0-2 yrs,Penetration Testing|SIEM|Python|Compliance|AWS Security|Incident Response,6,888000.0,2023,No
Cybersecurity Analyst,Freshworks,Hyderabad,5-8 yrs,Linux|SIEM|Python|Penetration Testing|Network Security,5,1520000.0,2022,No
Product Manager,Razorpay,Chennai,0-2 yrs,Stakeholder Management|Agile|Data Analysis|User Research,4,1410000.0,2023,Yes
UI/UX Designer,Freshworks,Kolkata,2-5 yrs,Prototyping|User Research|Wireframing|Figma|HTML/CSS|Adobe XD|Accessibility,7,903000.0,2022,No
UI/UX Designer,Accenture,Bengaluru,8+ yrs,Prototyping|HTML/CSS|Figma|User Research|Wireframing|Usability Testing|Sketch,7,1912000.0,2022,No
Backend Developer,Amazon,Pune,0-2 yrs,REST APIs|Docker|Git|Kubernetes|Node.js|Redis,6,767000.0,2023,No
Full Stack Developer,Flipkart,Mumbai,5-8 yrs,SQL|Git|Docker|TypeScript,4,1700000.0,2022,No
DevOps Engineer,Wipro,Kolkata,0-2 yrs,AWS|Kubernetes|CI/CD|Docker,4,1226000.0,2022,Yes
Frontend Developer,TCS,Ahmedabad,5-8 yrs,React|TypeScript|Git,3,1481000.0,2023,Yes
Full Stack Developer,Infosys,Ahmedabad,5-8 yrs,SQL|JavaScript|React|Git|Docker|GraphQL,6,1761000.0,2024,No
Full Stack Developer,Accenture,Kolkata,8+ yrs,Node.js|Git|React|SQL|Docker|AWS,6,2806000.0,2023,No
NLP Engineer,Freshworks,Delhi NCR,8+ yrs,Deep Learning|Transformers|NLP|Python|AWS|BERT|GPT,7,3810000.0,2024,Yes
NLP Engineer,IBM,Delhi NCR,8+ yrs,Python|Transformers|Deep Learning|NLP|BERT|GPT,6,3103000.0,2024,No
DevOps Engineer,BYJU'S,Ahmedabad,0-2 yrs,AWS|Linux|CI/CD|Docker|Kubernetes|Monitoring|Azure|Terraform,8,999000.0,2022,No
Machine Learning Engineer,Freshworks,Kolkata,0-2 yrs,Python|Docker|MLOps|Machine Learning|AWS|Scala|Spark,7,1324000.0,2023,Yes
Full Stack Developer,OLA,Hyderabad,0-2 yrs,JavaScript|Git|React|SQL|MongoDB|Next.js|AWS,7,1139000.0,2024,No
Full Stack Developer,Flipkart,Ahmedabad,8+ yrs,Node.js|JavaScript|Git|Docker|SQL|TypeScript|MongoDB|GraphQL,8,2099000.0,2022,Yes
Product Manager,Meesho,Mumbai,2-5 yrs,Roadmapping|Agile|Stakeholder Management|Product Strategy|Jira|User Research|Figma,7,1530000.0,2022,No
UI/UX Designer,PhonePe,Bengaluru,8+ yrs,User Research|Wireframing|Prototyping|Figma|HTML/CSS|Accessibility,6,1561000.0,2023,Yes
Frontend Developer,Nykaa,Chennai,8+ yrs,Git|TypeScript|HTML/CSS|JavaScript|React|Figma|GraphQL|Webpack,8,1752000.0,2024,No
UI/UX Designer,Adobe,Mumbai,0-2 yrs,User Research|Wireframing|Figma|Prototyping,4,704000.0,2023,No
UI/UX Designer,Freshworks,Kolkata,2-5 yrs,Prototyping|User Research|Wireframing|Figma|Usability Testing,5,856000.0,2022,No
Cloud Architect,Deloitte,Bengaluru,0-2 yrs,Azure|Kubernetes|Terraform|Networking|Cost Optimization,5,1863000.0,2023,Yes
Data Analyst,Infosys,Pune,0-2 yrs,Excel|Data Visualization|SQL|Google Analytics|R,5,708000.0,2023,Yes
UI/UX Designer,TCS,Remote,0-2 yrs,Prototyping|User Research|HTML/CSS|Figma,4,748000.0,2024,Yes
Backend Developer,Microsoft,Ahmedabad,5-8 yrs,Python|Docker|Git|SQL|Go|Redis,6,1768000.0,2024,No
Machine Learning Engineer,Paytm,Delhi NCR,2-5 yrs,Docker|Deep Learning|MLOps|Scala|AWS,5,1943000.0,2023,No
Product Manager,Zomato,Kolkata,0-2 yrs,Agile|Stakeholder Management|Product Strategy|Jira|A/B Testing,5,1368000.0,2024,No
